model_name,length,evol_num,sample_num,time_interval,loss_type,data_type,J,delta,theta,gate_fidelity,similarity,spectrum_diff,train_loss,test_loss,train_fide,test_fide,depth,lambda,H_diff
XXZ_inhomo,10.0,1.0,1.0,0.1,fidelity,non_product,1.0,-2.0,0.0,0.9994467628626378,0.986399465000708,0.001778642296939,0.0002352174179041,0.0002137380258824,0.999764782582096,0.9997862619741176,,,
XXZ_inhomo,10.0,1.0,1.0,0.1,fidelity,non_product,1.0,-2.0,0.0,0.9999220448135604,0.9810309052986588,0.0002763818413489,3.3062775920855714e-05,3.09394475273006e-05,0.9999669372240793,0.9999690605524728,,,
XXZ_inhomo,10.0,1.0,1.0,0.1,fidelity,non_product,1.0,0.0,0.0,0.9999997535860992,0.9866588655923346,8.560551143631333e-07,9.68333062623117e-08,7.990206707386704e-08,0.9999999031666936,0.9999999200979328,,,
XXZ_inhomo,10.0,1.0,1.0,0.1,fidelity,non_product,1.0,0.0,0.0,0.9994840384091864,0.988635801463096,0.0005408351838219,0.0002171700659032,0.0002102885807852,0.9997828299340968,0.9997897114192148,,,
XXZ_inhomo,10.0,1.0,1.0,0.1,fidelity,non_product,1.0,2.0,0.0,0.9999643408431882,0.9955870365368426,0.0001673234372574,1.7309834998924245e-05,1.3620474024977902e-05,0.9999826901650012,0.999986379525975,,,
XXZ_inhomo,10.0,1.0,1.0,0.1,fidelity,non_product,1.0,2.0,0.0,0.9998931125656052,0.9942403010658916,0.0002638670903139,0.0001170421984307,3.784968291653534e-05,0.9998829578015692,0.9999621503170836,,,
XXZ_inhomo,10.0,1.0,1.0,0.1,fidelity,product,1.0,-2.0,0.0,0.9692906184747248,0.9092120214088464,0.1608124249747559,2.1062850611541784e-05,0.0078234530416375,0.9999789371493883,0.9921765469583624,,,
XXZ_inhomo,10.0,1.0,1.0,0.1,fidelity,product,1.0,-2.0,0.0,0.971455951015762,0.9070776207354068,0.2013464649131191,8.806405210637358e-05,0.0059207424096194,0.9999119359478936,0.9940792575903804,,,
XXZ_inhomo,10.0,1.0,1.0,0.1,fidelity,product,1.0,0.0,0.0,0.9765944452589392,0.9122474982305224,0.0709247910077912,7.791396123413286e-05,0.0083195090428399,0.999922086038766,0.99168049095716,,,
XXZ_inhomo,10.0,1.0,1.0,0.1,fidelity,product,1.0,0.0,0.0,0.971737031102349,0.9075791021917592,0.2497999692148162,0.00036091578176,0.0112250493582551,0.99963908421824,0.9887749506417448,,,
XXZ_inhomo,10.0,1.0,1.0,0.1,fidelity,product,1.0,2.0,0.0,0.9551897461536114,0.8932976423592619,0.0357838883315964,0.000340435019944,0.0125589727788181,0.999659564980056,0.987441027221182,,,
XXZ_inhomo,10.0,1.0,1.0,0.1,fidelity,product,1.0,2.0,0.0,0.9560618916195764,0.894534286452665,0.0183914729493397,0.0001032180263165,0.013891516388843,0.9998967819736836,0.986108483611157,,,
XXZ_inhomo,10.0,1.0,1.0,0.1,multi_mags,non_product,1.0,-2.0,0.0,0.1518786052810201,0.4439631270744639,132.78649261531498,0.0012807080032608,0.6463694100632409,0.3826517069456666,0.449371428642692,,,
XXZ_inhomo,10.0,1.0,1.0,0.1,multi_mags,non_product,1.0,-2.0,0.0,0.3464050076388798,0.5448753947379954,66.47822704816778,0.0018223900074804,0.5007571859318835,0.5705910973999642,0.6727720003577714,,,
XXZ_inhomo,10.0,1.0,1.0,0.1,multi_mags,non_product,1.0,0.0,0.0,0.2851494121804924,0.5148859050576651,99.81976601093233,0.0011677142875672,0.5226555132257362,0.5273716642675151,0.636321316986745,,,
